cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
3,41.77342849,-87.66690595,8,N,1176,23,30,189,0,58,7,303,452,31,83
3,41.78215174,-87.72305381,7,N,702,10,34,116,1,34,2,231,213,18,43
3,41.78230763,-87.61245796,11,N,1120,18,29,163,0,71,4,377,362,33,63
3,41.78240734,-87.72263457,12,D,665,4,75,77,0,44,3,244,198,8,12
3,41.78254814,-87.70227115,4,D,1167,7,129,159,1,84,4,300,423,26,34
3,41.81685519,-87.62531251,2,N,648,6,22,86,0,47,5,225,203,10,44
3,41.88133593,-87.70609104,9,D,1722,128,115,172,1,82,13,521,599,38,53
3,41.8832921,-87.70784325,7,D,1866,127,110,214,0,99,10,604,608,32,62
3,41.88336334,-87.70702034,11,D,1853,168,97,203,3,136,13,516,640,32,45
3,41.8839094,-87.70729093,8,D,1928,151,137,220,1,108,17,582,617,41,54
3,41.88706173,-87.64514286,1,N,1486,15,109,213,1,59,7,651,363,35,33
3,41.88748907,-87.64005585,2,D,1651,23,233,165,2,68,12,803,312,20,13
3,41.88822447,-87.64256723,1,D,2058,25,233,255,5,86,6,1001,384,30,33
3,41.90874483,-87.74196886,5,N,1265,21,39,188,0,75,7,420,417,34,64
3,41.91802212,-87.75030961,10,N,1355,23,39,180,0,98,4,443,494,15,59
3,41.96363763,-87.80454243,3,D,456,11,70,63,1,36,3,158,96,13,5
3,41.9659827,-87.80695083,5,D,406,7,62,51,1,34,2,153,85,9,2
3,41.96963559,-87.67438108,9,N,1322,6,58,187,0,59,7,563,398,28,16
3,41.9698774,-87.67504439,6,N,1368,9,69,199,3,56,12,605,366,36,13
3,41.97049936,-87.67356261,6,D,1618,12,182,180,3,94,8,747,355,32,5
3,41.98624126,-87.67896965,3,N,703,6,54,109,3,38,0,286,186,14,7
4,41.70717582,-87.63976032,4,D,1126,12,87,132,0,94,8,373,363,21,36
4,41.73859116,-87.56636787,10,D,976,7,54,129,0,59,6,361,310,27,23
4,41.73930912,-87.56495487,8,N,725,4,13,132,0,40,2,236,233,11,54
4,41.74240658,-87.57355339,6,D,1210,9,73,153,1,127,7,349,442,20,29
4,41.7458044,-87.57709184,3,D,1287,7,63,196,2,90,5,433,411,29,51
4,41.75721743,-87.64828893,1,D,1221,24,50,155,2,92,9,412,406,23,48
4,41.76377643,-87.65320081,1,N,1000,25,21,135,0,68,6,323,320,23,79
4,41.78073744,-87.72325988,11,D,646,7,58,86,1,54,1,211,199,13,16
4,41.78130736,-87.72325809,11,N,569,2,24,99,0,18,6,204,170,15,31
4,41.78209662,-87.72473589,9,D,671,3,62,83,0,60,5,213,222,15,8
4,41.78354596,-87.71616001,5,D,916,13,96,108,2,70,1,290,280,22,34
4,41.78370961,-87.70812348,3,N,806,10,34,137,0,53,11,258,237,21,45
4,41.78615695,-87.73099606,9,N,613,1,22,83,0,28,9,223,174,38,35
4,41.78654927,-87.61014596,7,N,1459,15,36,219,1,56,7,585,439,21,80
4,41.78689718,-87.61195803,12,D,1412,17,77,162,1,91,5,540,467,18,34
4,41.81617985,-87.62242937,5,N,980,9,32,165,1,49,7,348,286,24,59
4,41.87241648,-87.7098834,4,N,1169,33,39,164,0,56,9,326,438,29,75
4,41.87840126,-87.7218409,2,N,1160,65,45,153,0,64,15,309,392,45,72
4,41.8880194,-87.64300697,6,N,1474,8,80,224,2,51,14,650,390,28,27
4,41.92357451,-87.75686242,8,D,1403,45,140,138,3,104,4,440,481,31,17
4,41.96365579,-87.81818506,10,N,281,2,22,46,0,24,2,108,67,5,5
4,41.96521033,-87.81897524,12,N,222,0,27,34,0,7,0,94,52,4,4
4,41.97351668,-87.67555534,2,D,1217,19,133,150,4,79,2,491,302,27,10
4,41.97407067,-87.86308301,7,D,149,15,16,17,1,11,1,51,28,2,7
5,41.69476224,-87.63569344,1,N,692,4,23,131,0,33,3,247,181,22,48
5,41.6959545,-87.6362583,2,N,576,8,22,95,0,26,3,203,176,9,34
5,41.70125792,-87.6350593,8,D,1000,25,60,127,1,88,8,292,336,25,38
5,41.73604716,-87.56364928,9,N,725,7,20,113,0,38,5,241,243,17,41
5,41.73832987,-87.56430242,12,N,671,6,27,110,0,34,1,218,223,10,42
5,41.73911482,-87.5654027,12,D,818,3,36,127,0,61,2,297,261,13,18
5,41.74551455,-87.57538341,5,D,1195,8,69,161,0,88,5,381,414,30,39
5,41.77203605,-87.66233628,7,N,1219,17,24,195,0,61,7,350,455,30,80
5,41.77228778,-87.66373928,9,D,1235,27,64,171,3,91,7,341,453,23,55
5,41.78349077,-87.72726997,10,N,632,6,20,96,3,26,7,257,143,20,54
5,41.78446763,-87.61025222,11,D,1405,30,80,159,0,77,6,500,477,30,46
5,41.78809971,-87.71511457,6,N,800,6,41,113,2,35,1,283,247,17,55
5,41.78945907,-87.71330577,6,D,879,10,92,111,3,76,2,307,243,9,26
5,41.87294214,-87.70683442,3,D,1501,128,116,178,0,97,11,469,450,20,32
5,41.87555988,-87.72325352,3,N,1240,62,49,185,2,67,7,346,429,32,61
5,41.87763885,-87.63659332,4,D,1664,16,228,142,2,84,15,790,335,32,20
5,41.88297407,-87.64096159,11,N,1413,19,73,210,2,58,12,609,365,37,28
5,41.88441674,-87.63873074,10,D,2164,33,225,214,3,88,24,1071,447,38,21
5,41.88629297,-87.63894636,7,D,2229,26,223,250,5,88,10,1127,428,44,28
5,41.9571461,-87.79454782,5,N,503,4,29,65,0,39,6,227,109,14,10
5,41.96921003,-87.67185886,8,N,1407,15,104,207,1,60,7,586,378,30,19
5,41.9732404,-87.67795616,4,N,1037,10,79,153,3,58,3,428,259,33,11
5,41.973694,-87.6752438,1,D,1381,14,180,144,11,79,3,640,282,14,14
5,41.97760816,-87.86664603,2,D,161,16,26,14,0,10,3,49,32,7,4
6,41.69641302,-87.63590047,3,D,856,8,55,108,0,74,6,276,270,23,36
6,41.6993027,-87.63176731,7,N,820,10,28,138,0,40,6,260,271,27,40
