lat,lon,dn,cluster
41.824505,-87.64352,D,9
41.817196,-87.642105,D,9
41.809856,-87.64131,D,9
41.780785,-87.63839,D,9
41.774384,-87.63778,D,9
41.768497,-87.63723,D,9
41.75076,-87.63591,D,9
41.70269,-87.68691,D,9
41.836803,-87.67117,N,0
41.822853,-87.64347,N,0
41.81259,-87.64164,N,0
41.77258,-87.63797,N,0
41.750755,-87.63598,N,0
41.7494,-87.636696,N,0
41.748913,-87.63707,N,0
41.746353,-87.63908,N,0
41.733315,-87.652054,N,0
41.68685,-87.69943,N,0
41.68599,-87.701836,N,0
41.68601,-87.701836,N,0
41.78212,-87.694695,N,0
41.816933,-87.69202,N,0
41.820526,-87.6917,N,0
41.822247,-87.69095,N,0
41.831234,-87.68019,N,0
41.833023,-87.6778,N,0
41.996155,-87.728905,N,1
42.019176,-87.70716,N,1
42.02255,-87.67614,N,1
42.02255,-87.67589,N,1
42.02253,-87.66632,N,1
42.021698,-87.6654,N,1
42.021606,-87.66535,N,1
41.96165,-87.63508,N,1
41.94119,-87.640434,N,1
41.940086,-87.641685,N,1
41.93485,-87.64782,N,1
41.92899,-87.65483,N,1
41.92528,-87.6593,N,1
41.914223,-87.67267,N,1
41.913486,-87.673874,N,1
41.914898,-87.67634,N,1
41.918453,-87.68119,N,1
41.930767,-87.69758,N,1
41.932083,-87.699326,N,1
41.934547,-87.70259,N,1
41.939465,-87.70771,N,1
41.94524,-87.71267,N,1
41.94656,-87.71324,N,1
41.952496,-87.715324,N,1
41.965225,-87.71938,N,1
41.973816,-87.72206,N,1
41.99604,-87.728905,N,1
41.703354,-87.5942,N,2
41.659798,-87.588776,N,2
41.64461,-87.60159,N,2
41.64459,-87.61588,N,2
41.65837,-87.64649,N,2
41.677288,-87.682274,N,2
41.678616,-87.68442,N,2
41.68894,-87.69712,N,2
41.72983,-87.655594,N,2
41.73912,-87.64613,N,2
41.747086,-87.63732,N,2
41.748943,-87.63519,N,2
41.73301,-87.60406,N,2
41.731895,-87.60228,N,2
41.72819,-87.60098,N,2
41.935028,-87.63242,N,3
41.89222,-87.60468,N,3
41.86649,-87.60848,N,3
41.862843,-87.609215,N,3
41.862362,-87.60934,N,3
41.84007,-87.61562,N,3
41.83795,-87.61826,N,3
41.830967,-87.62971,N,3
41.825375,-87.63897,N,3
41.824368,-87.64108,N,3
41.82439,-87.642296,N,3
41.82454,-87.644745,N,3
41.830597,-87.65786,N,3
41.83372,-87.66438,N,3
41.83572,-87.66808,N,3
41.837605,-87.67056,N,3
41.850704,-87.672134,N,3
41.85406,-87.67231,N,3
41.854973,-87.672356,N,3
41.874096,-87.67313,N,3
41.903248,-87.67377,N,3
41.91176,-87.673836,N,3
41.913685,-87.67265,N,3
41.915024,-87.67147,N,3
41.927135,-87.65704,N,3
41.937717,-87.644325,N,3
41.94009,-87.641335,N,3
41.941067,-87.63939,N,3
41.940536,-87.63815,N,3
41.651432,-87.52726,N,4
41.645287,-87.54001,N,4
41.645798,-87.54247,N,4
41.649303,-87.55931,N,4
41.659195,-87.57986,N,4
41.719772,-87.59834,N,4
41.730793,-87.60091,N,4
41.744076,-87.596176,N,4
41.77152,-87.584015,N,4
41.773373,-87.58312,N,4
41.7783,-87.579384,N,4
41.781876,-87.575325,N,4
41.755283,-87.544304,N,4
41.72122,-87.52607,N,4
41.70177,-87.52453,N,4
41.70037,-87.52454,N,4
41.692863,-87.52465,N,4
42.00498,-87.76292,N,5
41.996483,-87.730125,N,5
41.969017,-87.72072,N,5
41.944,-87.71263,N,5
41.93973,-87.71252,N,5
41.90544,-87.72639,N,5
41.875103,-87.73869,N,5
41.865917,-87.74292,N,5
41.86557,-87.765976,N,5
41.8655,-87.77102,N,5
41.865467,-87.77344,N,5
41.865467,-87.773476,N,5
41.86646,-87.77416,N,5
41.909863,-87.792366,N,5
41.911396,-87.79242,N,5
41.91348,-87.79248,N,5
41.923645,-87.78941,N,5
41.931526,-87.78693,N,5
41.934986,-87.78582,N,5
41.960342,-87.77763,N,5
41.986538,-87.769135,N,5
42.004833,-87.76297,N,5
41.82167,-87.69188,N,6
41.83985,-87.73661,N,6
41.84407,-87.737656,N,6
41.868877,-87.74057,N,6
41.875103,-87.73853,N,6
41.884575,-87.73484,N,6
41.920902,-87.72009,N,6
41.939507,-87.71251,N,6
41.939316,-87.709145,N,6
41.938236,-87.70761,N,6
41.92263,-87.68679,N,6
41.91479,-87.67634,N,6
41.913586,-87.675095,N,6
41.91236,-87.67419,N,6
41.907757,-87.67391,N,6
41.904526,-87.67385,N,6
41.874092,-87.67335,N,6
41.859512,-87.673294,N,6
41.84802,-87.67327,N,6
41.83763,-87.673645,N,6
41.833355,-87.67782,N,6
41.8188,-87.64215,N,7
41.82259,-87.64228,N,7
41.824688,-87.63987,N,7
41.835697,-87.621864,N,7
41.839695,-87.61508,N,7
41.84196,-87.6101,N,7
41.84195,-87.60945,N,7
41.803806,-87.582085,N,7
41.796207,-87.579124,N,7
41.7874,-87.57774,N,7
41.77337,-87.58326,N,7
41.76727,-87.58595,N,7
41.748707,-87.59421,N,7
41.736717,-87.600044,N,7
41.732384,-87.602165,N,7
41.733013,-87.603615,N,7
41.73351,-87.604744,N,7
41.739304,-87.61622,N,7
41.746635,-87.630554,N,7
41.74814,-87.63302,N,7
41.749794,-87.635185,N,7
41.75076,-87.63591,N,7
41.77258,-87.63793,N,7
41.797043,-87.80041,N,8
41.837822,-87.735306,N,8
41.8378,-87.73167,N,8
41.82156,-87.69206,N,8
41.815575,-87.69228,N,8
41.794575,-87.69382,N,8
41.777267,-87.69511,N,8
41.697983,-87.70105,N,8
41.69156,-87.701584,N,8
41.686573,-87.70219,N,8
41.68144,-87.70594,N,8
41.68056,-87.7088,N,8
41.683876,-87.72549,N,8
41.77525,-87.80082,N,8
41.778675,-87.80097,N,8
41.789547,-87.80143,N,8
41.793663,-87.80158,N,8
41.793823,-87.80158,N,8
41.908916,-87.80311,N,9
41.95587,-87.931595,N,9
41.996235,-87.939735,N,9
42.006073,-87.92737,N,9
42.008938,-87.90706,N,9
42.01805,-87.81877,N,9
42.018925,-87.80833,N,9
42.01196,-87.77363,N,9
42.004593,-87.76377,N,9
42.00361,-87.76404,N,9
41.965847,-87.77594,N,9
41.93926,-87.78449,N,9
41.911644,-87.79365,N,9
41.909023,-87.79492,N,9
41.90895,-87.8005,N,9
