cluster,centroid_lat,centroid_lon,quarter,DN,CrimeGroup,count
3,41.7721772,-87.66416522,3,D,sexual_offenses,72
4,41.97390928,-87.85625964,3,D,sexual_offenses,8
5,41.69902501,-87.63179412,3,D,sexual_offenses,66
6,41.78447228,-87.72538235,3,D,sexual_offenses,50
7,41.92348046,-87.7581027,3,D,sexual_offenses,90
8,41.88367038,-87.7075919,3,D,sexual_offenses,114
9,41.78687049,-87.6105281,3,D,sexual_offenses,93
0,41.7378092,-87.56464747,3,N,sexual_offenses,46
1,41.77484292,-87.66683,3,N,sexual_offenses,93
2,41.78410276,-87.72746305,3,N,sexual_offenses,68
3,41.96049449,-87.80725211,3,N,sexual_offenses,22
4,41.87988087,-87.70573543,3,N,sexual_offenses,105
5,41.8819243,-87.63908583,3,N,sexual_offenses,113
6,41.96955026,-87.67307505,3,N,sexual_offenses,92
7,41.78503221,-87.61153058,3,N,sexual_offenses,74
8,41.91698826,-87.74896502,3,N,sexual_offenses,116
9,41.70222909,-87.63123676,3,N,sexual_offenses,56
0,41.77579425,-87.66439833,4,D,sexual_offenses,66
1,41.97220379,-87.83815019,4,D,sexual_offenses,8
2,41.70194991,-87.63262764,4,D,sexual_offenses,63
3,41.88264999,-87.70733097,4,D,sexual_offenses,85
4,41.73897681,-87.56627825,4,D,sexual_offenses,64
5,41.97379128,-87.6749041,4,D,sexual_offenses,61
6,41.784803,-87.61103552,4,D,sexual_offenses,70
7,41.8854957,-87.63893541,4,D,sexual_offenses,101
8,41.92230484,-87.75544849,4,D,sexual_offenses,79
9,41.78186609,-87.72274334,4,D,sexual_offenses,32
0,41.69970248,-87.63219862,4,N,sexual_offenses,43
1,41.91971603,-87.75026244,4,N,sexual_offenses,64
2,41.88276025,-87.64040138,4,N,sexual_offenses,107
3,41.78163753,-87.61243267,4,N,sexual_offenses,90
4,41.78278419,-87.72384113,4,N,sexual_offenses,44
5,41.73836867,-87.56460272,4,N,sexual_offenses,40
6,41.97298032,-87.67536234,4,N,sexual_offenses,63
7,41.88110388,-87.7054244,4,N,sexual_offenses,87
8,41.77399531,-87.66664694,4,N,sexual_offenses,63
9,41.96353306,-87.81606885,4,N,sexual_offenses,17
0,41.88831654,-87.6419918,1,D,severe_property,2808
1,41.69366871,-87.63593341,1,D,severe_property,758
